Achlys ,Poisons
Aether ,Light
Aion ,Eternity
Ananke ,Inevitablity
Chaos ,Nothingness
Chronos ,Time
Erebus ,Darkness
Eros ,Love
Hemera ,Day
Hypnos ,Sleep
Nemesis ,Retribution
The Nesoi ,Islands
Nyx ,Night
The Ourea ,Mountains
Phanes ,Procreation
Pontus ,Sea
Tartarus ,Underworld
Thanatos ,Death
Uranus ,Sky
Aphrodite,"Beauty, love and pleasure"
Apollo,"Music, arts and knowledge"
Ares,War
Artemis,"The hunt, wild animals"
Athena,Wisdom
Demeter,Agriculture
Dionysus,Wine
Hades,Underworld
Hephaestus,"Fire, metalworking"
Hera,"Marriage, women and childbirth"
Hermes,Trade and communication
Hestia,Home and hearth
Poseiden,Sea
Zeus,"Sky, thunder and lightning"
Concordia,Agreement
Venus,Beauty
Janus,Beginnings and endings
Aequitas,Fairness
Vulcan,Fire
Flora,Flowers
Clementia,Forgiveness
Ceres,Harvest
Aesculapius,Health
Justitia,Justice
Cupid,Love
Felicitas,Luck
Mercury,Messenger of the gods
Diana,Moon
Lucifer,Morning star
Apollo,Music
Pax,Peace
Abundantia,Prosperity
Juno,Queen of the Gods
Nemesis,Retribution
Pluto,Ruler of the dead
Neptune,Sea
Jupiter,Sky and Lightning
Somnus,Sleep
Hercules,Strength
Aurora,The Dawn
Veritas,Truth
Victoria,Victory
Mars,War
Bacchus,Wine
Minerva,Wisdom
